"nday","_col1"
"6","6002"
"142","2"
"44","142"
"70","48"
"66","45"
"264","1"
"93","67"
"229","3"
"176","2"
"161","2"
"105","65"
"172","1"
"14","1713"
"149","1"
"141","2"
"67","43"
"78","41"
"94","73"
"185","1"
"34","348"
"92","53"
"121","33"
"254","2"
"237","2"
"30","395"
"118","35"
"135","16"
"155","3"
"649","1"
"20","888"
"91","47"
"171","1"
"60","61"
"101","76"
"54","75"
"27","481"
"102","68"
"53","82"
"55","89"
"152","4"
"270","2"
"128","23"
"29","416"
"139","6"
"112","47"
"90","37"
"50","87"
"224","2"
"211","1"
"73","43"
"45","115"
"43","142"
"69","45"
"15","1513"
"125","33"
"41","150"
"33","327"
"119","36"
"48","110"
"169","1"
"12","2185"
"96","77"
"130","13"
"281","1"
"183","3"
"195","3"
"191","1"
"5","7389"
"89","47"
"85","38"
"137","17"
"240","1"
"37","206"
"64","68"
"296","1"
"25","575"
"31","404"
"117","36"
"156","2"
"26","501"
"52","79"
"120","22"
"104","66"
"28","463"
"106","54"
"103","83"
"80","34"
"95","71"
"196","3"
"144","1"
"17","1227"
"159","2"
"138","16"
"32","338"
"107","60"
"129","21"
"473","1"
"133","12"
"181","2"
"188","4"
"72","48"
"225","1"
"24","636"
"108","53"
"163","3"
"189","1"
"10","2885"
"145","2"
"151","2"
"179","2"
"115","48"
"13","1981"
"84","50"
"148","6"
"481","1"
"8","4004"
"265","1"
"56","67"
"7","5085"
"19","992"
"82","39"
"57","95"
"83","28"
"255","1"
"18","1026"
"143","5"
"253","1"
"201","1"
"51","93"
"71","53"
"49","105"
"199","1"
"154","2"
"235","1"
"140","6"
"97","57"
"47","97"
"88","36"
"59","65"
"209","1"
"262","1"
"21","832"
"114","39"
"81","41"
"165","2"
"232","1"
"173","2"
"65","47"
"36","231"
"136","17"
"86","48"
"187","3"
"63","53"
"4","8862"
"127","25"
"217","2"
"146","1"
"175","3"
"190","1"
"162","3"
"100","69"
"215","1"
"35","283"
"113","46"
"178","1"
"11","2609"
"123","30"
"198","1"
"75","49"
"132","15"
"218","1"
"242","2"
"22","708"
"150","1"
"134","17"
"116","56"
"79","42"
"168","1"
"131","18"
"157","3"
"432","1"
"111","50"
"98","82"
"87","45"
"276","1"
"206","2"
"210","2"
"23","670"
"177","4"
"236","1"
"40","155"
"182","1"
"158","1"
"42","154"
"219","1"
"77","37"
"68","42"
"147","5"
"58","62"
"9","3464"
"76","36"
"238","3"
"110","40"
"99","92"
"170","4"
"174","1"
"38","198"
"122","36"
"203","1"
"261","2"
"328","1"
"62","72"
"46","118"
"39","188"
"124","27"
"223","1"
"160","4"
"61","57"
"186","1"
"16","1293"
"109","76"
"214","1"
"126","20"
"251","1"
"74","38"
